LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION
WE-10A1,320WE10A1EA0026,320WE10A1EA0026,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0026,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0027,320WE10A1EA0027,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0027,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0028,320WE10A1EA0028,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0028,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0029,320WE10A1EA0029,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0029,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0030,320WE10A1EA0030,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0030,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0031,320WE10A1EA0031,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0031,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0032,320WE10A1EA0032,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0032,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0033,320WE10A1EA0033,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0033,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0034,320WE10A1EA0034,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0034,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0035,320WE10A1EA0035,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0035,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0036,320WE10A1EA0036,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0036,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0037,320WE10A1EA0037,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0037,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0038,320WE10A1EA0038,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0038,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0039,320WE10A1EA0039,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0039,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0040,320WE10A1EA0040,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0040,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0041,320WE10A1EA0041,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0041,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0042,320WE10A1EA0042,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0042,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0043,320WE10A1EA0043,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0043,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0044,320WE10A1EA0044,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0044,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0045,320WE10A1EA0045,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0045,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0046,320WE10A1EA0046,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0046,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0047,320WE10A1EA0047,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0047,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0048,320WE10A1EA0048,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0048,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0049,320WE10A1EA0049,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0049,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0050,320WE10A1EA0050,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0050,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0051,320WE10A1EA0051,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0051,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0052,320WE10A1EA0052,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0052,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0053,320WE10A1EA0053,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0053,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0054,320WE10A1EA0054,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0054,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0055,320WE10A1EA0055,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0055,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0056,320WE10A1EA0056,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0056,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0057,320WE10A1EA0057,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0057,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0058,320WE10A1EA0058,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0058,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0059,320WE10A1EA0059,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0059,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0060,320WE10A1EA0060,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0060,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0061,320WE10A1EA0061,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0061,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0062,320WE10A1EA0062,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0062,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0063,320WE10A1EA0063,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0063,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0064,320WE10A1EA0064,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0064,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0065,320WE10A1EA0065,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0065,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0066,320WE10A1EA0066,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0066,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0067,320WE10A1EA0067,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0067,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0068,320WE10A1EA0068,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0068,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0069,320WE10A1EA0069,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0069,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0070,320WE10A1EA0070,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0070,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0071,320WE10A1EA0071,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0071,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0072,320WE10A1EA0072,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0072,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0073,320WE10A1EA0073,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0073,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0074,320WE10A1EA0074,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0074,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0075,320WE10A1EA0075,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0075,2024-06-01,A,Preseries
WE-10A1,320WE10A1EA0076,320WE10A1EA0076,UMN,UMN,Poly,LD Wagon E 320WE10A1EA0076,2024-06-01,A,Preseries
