Name,Major SN,Major Code,SubType Name,Sub Code
HD Module,9,MH,"Five, 200 um, Carbon Fiber baseplate",52C
HD Module,9,MH,"Five, 120 um, CuW baseplate",51W
HD Module,9,MH,"Five, 120 um, PCB baseplate",51P
HD Module,9,MH,"Five, 120 um, Carbon Fiber baseplate",51C
LD Engine,10,EL,EngV1,0000
LD Engine,10,EL,EngV2,0100
LD Engine,10,EL,EngV2b,0200
LD Engine,10,EL,EngV3,0300
LD Engine,10,EL,EngV3W,0310
LD Engine,10,EL,EngEQ,0QE0
LD Engine,10,EL,EngWQ,0QW0
LD Engine,10,EL,EngDmy,0900
LD Engine,10,EL,Eng E,10E0
LD Engine,10,EL,Eng EB,10EB
LD Engine,10,EL,Eng W,10W0
LD Engine,10,EL,Eng WB,10WB
HD Engine,11,EH,HDEF3,03F0
HD Engine,11,EH,HDE FQ,0QF0
HD Engine,11,EH,HDE HQ,0QH0
HD Engine,11,EH,HDE F,10F0
HD Engine,11,EH,HDE FB,10FB
HD Engine,11,EH,HDE H,10H0
HD Engine,11,EH,HDE HB,10HB
LD Wagon East,12,WE,East 1A,10A1
LD Wagon East,12,WE,East 2A,20A1
LD Wagon East,12,WE,East 2B,20B1
LD Wagon East,12,WE,East 3A,30A1
LD Wagon East,12,WE,East T,30A3
LD Wagon East,12,WE,East 1 Debug,10Z1
LD Wagon West,13,WW,West 1A,10A1
LD Wagon West,13,WW,West 2A,20A1
LD Wagon West,13,WW,West 3A,30A1
LD Wagon West,13,WW,Lefty Python,30A2
LD Wagon West,13,WW,West T,30A3
LD Wagon West,13,WW,West 1 Debug,10Z1
LD Wagon West,13,WW,West 1F+1P A,11A1
HD Wagon,14,WH,Prototype A,30A0
HD Wagon,14,WH,Prototype C,30C0
HD Wagon,14,WH,Straight 3 HDEF,30A1
HD Wagon,14,WH,Straight 3 HDEH,30B1
HD Wagon,14,WH,Triangle 3 LT 1,30C1
HD Wagon,14,WH,Triangle 3 LT 2,30C2
HD Wagon,14,WH,Straight 3.5,31A1
HD Wagon,14,WH,J-Shaped 3.5,31B1
HD Wagon,14,WH,Straight 2,20A1
HD Wagon,14,WH,Straight 2.5 HDEF,21A1
HD Wagon,14,WH,Straight 2.5 HDEH,21B1
HD Wagon,14,WH,Straight 3 HDEF Bare,30AB
HD Wagon,14,WH,Straight 3 HDEH Bare,30BB
HD Wagon,14,WH,Triangle 3 LT 1 Bare,30CB
HD Wagon,14,WH,Triangle 3 LT 2 Bare,30CB
HD Wagon,14,WH,Straight 3.5 Bare,31BB
HD Wagon,14,WH,J-Shaped 3.5 Bare,31CB
HD Wagon,14,WH,Straight 2 Bare,20AB
HD Wagon,14,WH,Straight 2.5 HDEF Bare,21AB
HD Wagon,14,WH,Straight 2.5 HDEH Bare,21BB
Concentrator Mezzanine,15,CM,"Full, ECON-T COB Proto",1F11
Concentrator Mezzanine,15,CM,"Full, ECON-T Proto",1F12
Concentrator Mezzanine,15,CM,"Full, ECON-D COB Proto",1F21
Concentrator Mezzanine,15,CM,Full Proto,1F22
Concentrator Mezzanine,15,CM,Dummy,1F90
Concentrator Mezzanine,15,CM,"Partial Semi-Right, T+D",25L0
Concentrator Mezzanine,15,CM,Full ECON-T+D,2F00
DCDC Board,16,DC,TST1,TST1
Zipper Board,17,ZP,Semi/Half Straight,AR00
Zipper Board,17,ZP,Five Right,BR00
Zipper Board,17,ZP,Five Left,CR00
Zipper Board,17,ZP,Five Right Snake,BS00
Zipper Board,17,ZP,Semi/Half LPGBT,AL00
Tester,90,TS,TBT,0001
Tester,90,TS,TBT2,0002
Tester,90,TS,HXCTR1,0011
Tester,90,TS,HXCTR2,0011
Tester,90,TS,ZCU102,0021
Tester,90,TS,WagT,0031
Tester,90,TS,WagWhl,0032
Tester,90,TS,WagAdE,0033
Tester,90,TS,WagAdW,0034
Tester,90,TS,EngT,0400
Tester,90,TS,EngLIE,0410
Tester,90,TS,EngLIW,0420
Tester,90,TS,EngHI,0430
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 0,00
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 2,02
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 4,04
