LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,AC2B6C41,AC2B6C41,LPGBT DAQ 0xAC2B6C41,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000381,DAQ LPGBT for 320EL10E1010002,lpGBT Location LD Engine,DAQ
IC-LPG,4CAB800E,4CAB800E,LPGBT E 0x4CAB800E,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000382,E LPGBT for 320EL10E1010002,lpGBT Location LD Engine,TRIG-E
IC-LPG,2C2920BC,2C2920BC,LPGBT W 0x2C2920BC,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000383,W LPGBT for 320EL10E1010002,lpGBT Location LD Engine,TRIG-W
IC-LPG,2C2CEC1C,2C2CEC1C,LPGBT DAQ 0x2C2CEC1C,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000384,DAQ LPGBT for 320EL10E1010007,lpGBT Location LD Engine,DAQ
IC-LPG,ACAA7E78,ACAA7E78,LPGBT E 0xACAA7E78,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000385,E LPGBT for 320EL10E1010007,lpGBT Location LD Engine,TRIG-E
IC-LPG,0429D3AB,0429D3AB,LPGBT W 0x0429D3AB,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000386,W LPGBT for 320EL10E1010007,lpGBT Location LD Engine,TRIG-W
IC-LPG,2CA8FDDC,2CA8FDDC,LPGBT DAQ 0x2CA8FDDC,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000387,DAQ LPGBT for 320EL10E1010010,lpGBT Location LD Engine,DAQ
IC-LPG,C4AE1626,C4AE1626,LPGBT E 0xC4AE1626,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000388,E LPGBT for 320EL10E1010010,lpGBT Location LD Engine,TRIG-E
IC-LPG,A4A85D6D,A4A85D6D,LPGBT W 0xA4A85D6D,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000389,W LPGBT for 320EL10E1010010,lpGBT Location LD Engine,TRIG-W
IC-LPG,8CA8C82F,8CA8C82F,LPGBT DAQ 0x8CA8C82F,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000390,DAQ LPGBT for 320EL10E1010011,lpGBT Location LD Engine,DAQ
