LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,8C2ADF86,8C2ADF86,LPGBT E 0x8C2ADF86,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000883,E LPGBT for 320EL10W1010045,lpGBT Location LD Engine,TRIG-E
IC-LPG,E428A005,E428A005,LPGBT W 0xE428A005,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000884,W LPGBT for 320EL10W1010045,lpGBT Location LD Engine,TRIG-W
IC-LPG,042A3E10,042A3E10,LPGBT DAQ 0x042A3E10,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000885,DAQ LPGBT for 320EL10W1010055,lpGBT Location LD Engine,DAQ
IC-LPG,EC2A6DFE,EC2A6DFE,LPGBT E 0xEC2A6DFE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000886,E LPGBT for 320EL10W1010055,lpGBT Location LD Engine,TRIG-E
IC-LPG,64AECE62,64AECE62,LPGBT W 0x64AECE62,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000887,W LPGBT for 320EL10W1010055,lpGBT Location LD Engine,TRIG-W
IC-LPG,0CA9A005,0CA9A005,LPGBT DAQ 0x0CA9A005,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000888,DAQ LPGBT for 320EL10W1010073,lpGBT Location LD Engine,DAQ
IC-LPG,4CABEF08,4CABEF08,LPGBT E 0x4CABEF08,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000889,E LPGBT for 320EL10W1010073,lpGBT Location LD Engine,TRIG-E
IC-LPG,2CAB3EDF,2CAB3EDF,LPGBT W 0x2CAB3EDF,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000890,W LPGBT for 320EL10W1010073,lpGBT Location LD Engine,TRIG-W
IC-LPG,642C89F2,642C89F2,LPGBT DAQ 0x642C89F2,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000891,DAQ LPGBT for 320EL10W1010076,lpGBT Location LD Engine,DAQ
IC-LPG,8CAB68B0,8CAB68B0,LPGBT E 0x8CAB68B0,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000892,E LPGBT for 320EL10W1010076,lpGBT Location LD Engine,TRIG-E
