LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010033,320EL10E1010033,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010033,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2B5A8E,IC-LPG,44AA2750,IC-LPG,AC2DA972,IC-LDH, LDO 14 003950,EL-1BE,320EL1BE1010033
EL-10E,320EL10E1010034,320EL10E1010034,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010034,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2B5A8E,IC-LPG,44AA2750,IC-LPG,AC2DA972,IC-LDH, LDO 14 003979,EL-1BE,320EL1BE1010034
EL-10E,320EL10E1010035,320EL10E1010035,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010035,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,A4A8C2A7,IC-LPG,24AA72CF,IC-LPG,2C2A8C49,IC-LDH, LDO 14 002242,EL-1BE,320EL1BE1010035
EL-10E,320EL10E1010036,320EL10E1010036,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010036,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,A4A8C2A7,IC-LPG,24AA72CF,IC-LPG,2C2A8C49,IC-LDH, LDO 14 002266,EL-1BE,320EL1BE1010036
EL-10E,320EL10E1010037,320EL10E1010037,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010037,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,0C2E6F2B,IC-LPG,642C20A4,IC-LPG,042F7358,IC-LDH, LDO 14 003647,EL-1BE,320EL1BE1010037
EL-10E,320EL10E1010038,320EL10E1010038,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010038,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E428A500,IC-LPG,2CAD2C91,IC-LPG,042C9DDC,IC-LDH, LDO 14 003645,EL-1BE,320EL1BE1010038
EL-10E,320EL10E1010039,320EL10E1010039,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010039,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E428A500,IC-LPG,2CAD2C91,IC-LPG,042C9DDC,IC-LDH, LDO 14 002953,EL-1BE,320EL1BE1010039
EL-10E,320EL10E1010040,320EL10E1010040,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010040,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E428A500,IC-LPG,2CAD2C91,IC-LPG,042C9DDC,IC-LDH, LDO 14 002946,EL-1BE,320EL1BE1010040
EL-10E,320EL10E1010041,320EL10E1010041,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010041,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AC2295,IC-LPG,C429C1B5,IC-LPG,4CAE01B9,IC-LDH, LDO 14 002861,EL-1BE,320EL1BE1010041
EL-10E,320EL10E1010042,320EL10E1010042,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010042,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AC2295,IC-LPG,C429C1B5,IC-LPG,4CAE01B9,IC-LDH, LDO 14 002876,EL-1BE,320EL1BE1010042
