LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION
IC-LPG,0x442b71d2,0x442b71d2,Minnesota,Minnesota,TSMC,LPGBT DAQ1 0x442b71d2,2024-04-24,IC-LPS,2001,DAQ1 LPGBT for 320EH0QF0010001
IC-LPG,0xac2b8d63,0xac2b8d63,Minnesota,Minnesota,TSMC,LPGBT DAQ2 0xac2b8d63,2024-04-24,IC-LPS,2002,DAQ2 LPGBT for 320EH0QF0010001
IC-LPG,0x4cad793d,0x4cad793d,Minnesota,Minnesota,TSMC,LPGBT TRG1 0x4cad793d,2024-04-24,IC-LPS,2003,TRG1 LPGBT for 320EH0QF0010001
IC-LPG,0xaca92787,0xaca92787,Minnesota,Minnesota,TSMC,LPGBT TRG2 0xaca92787,2024-04-24,IC-LPS,2004,TRG2 LPGBT for 320EH0QF0010001
IC-LPG,0x8c2a4ab9,0x8c2a4ab9,Minnesota,Minnesota,TSMC,LPGBT TRG3 0x8c2a4ab9,2024-04-24,IC-LPS,2005,TRG3 LPGBT for 320EH0QF0010001
IC-LPG,0xaca90360,0xaca90360,Minnesota,Minnesota,TSMC,LPGBT TRG4 0xaca90360,2024-04-24,IC-LPS,2006,TRG4 LPGBT for 320EH0QF0010001
