LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010002,320EL10E1010002,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010002,2024-11-22,1,Preproduction,IC-LPG,AC2B6C41,IC-LPG,4CAB800E,IC-LPG,2C2920BC,IC-LDH, LDO 14 000579,EL-1BE,320EL1BE1010002
EL-10E,320EL10E1010007,320EL10E1010007,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010007,2024-11-22,1,Preproduction,IC-LPG,2C2CEC1C,IC-LPG,ACAA7E78,IC-LPG,0429D3AB,IC-LDH, LDO 14 000123,EL-1BE,320EL1BE1010007
EL-10E,320EL10E1010009,320EL10E1010009,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010009,2024-11-22,1,Preproduction,IC-LPG,EC2F7910,IC-LPG,2CABABDC,IC-LPG,44282EE7,IC-LDH, LDO 14 003720,EL-1BE,320EL1BE1010009
EL-10E,320EL10E1010010,320EL10E1010010,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010010,2024-11-22,1,Preproduction,IC-LPG,2CA8FDDC,IC-LPG,C4AE1626,IC-LPG,A4A85D6D,IC-LDH, LDO 14 003793,EL-1BE,320EL1BE1010010
EL-10E,320EL10E1010011,320EL10E1010011,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010011,2024-11-22,1,Preproduction,IC-LPG,8CA8C82F,IC-LPG,CC2E47C3,IC-LPG,8C2C16DF,IC-LDH, LDO 14 003618,EL-1BE,320EL1BE1010011
EL-10E,320EL10E1010012,320EL10E1010012,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010012,2024-11-22,1,Preproduction,IC-LPG,04AEE943,IC-LPG,24AC783C,IC-LPG,64A892FB,IC-LDH, LDO 14 000023,EL-1BE,320EL1BE1010012
EL-10E,320EL10E1010013,320EL10E1010013,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010013,2024-11-22,1,Preproduction,IC-LPG,0C2BCF8E,IC-LPG,0CAC6FA9,IC-LPG,0C2D42C9,IC-LDH, LDO 14 003610,EL-1BE,320EL1BE1010013
EL-10E,320EL10E1010014,320EL10E1010014,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010014,2024-11-22,1,Preproduction,IC-LPG,2C2F9207,IC-LPG,0CA9C333,IC-LPG,4428E488,IC-LDH, LDO 14 003716,EL-1BE,320EL1BE1010014
EL-10E,320EL10E1010015,320EL10E1010015,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010015,2024-11-22,1,Preproduction,IC-LPG,2428CFA5,IC-LPG,84AA7856,IC-LPG,642A3E7F,IC-LDH, LDO 14 003791,EL-1BE,320EL1BE1010015
EL-10E,320EL10E1010016,320EL10E1010016,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010016,2024-11-22,1,Preproduction,IC-LPG,2428CFA5,IC-LPG,84AA7856,IC-LPG,642A3E7F,IC-LDH, LDO 14 003708,EL-1BE,320EL1BE1010016
EL-10E,320EL10E1010031,320EL10E1010031,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010031,2024-11-22,1,Preproduction,IC-LPG,CC2856E7,IC-LPG,6CA9CC09,IC-LPG,8C2AEF75,IC-LDH, LDO 14 003944,EL-1BE,320EL1BE1010031
EL-10E,320EL10E1010032,320EL10E1010032,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010032,2024-11-22,1,Preproduction,IC-LPG,C42C1FAD,IC-LPG,04ABEF29,IC-LPG,0CAC247B,IC-LDH, LDO 14 003956,EL-1BE,320EL1BE1010032
EL-10E,320EL10E1010033,320EL10E1010033,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010033,2024-11-22,1,Preproduction,IC-LPG,CC2B5A8E,IC-LPG,44AA2750,IC-LPG,AC2DA972,IC-LDH, LDO 14 003950,EL-1BE,320EL1BE1010033
EL-10E,320EL10E1010034,320EL10E1010034,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010034,2024-11-22,1,Preproduction,IC-LPG,04A8A8C7,IC-LPG,842BC06F,IC-LPG,0C2E532B,IC-LDH, LDO 14 003979,EL-1BE,320EL1BE1010034
EL-10E,320EL10E1010035,320EL10E1010035,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010035,2024-11-22,1,Preproduction,IC-LPG,A4A8C2A7,IC-LPG,24AA72CF,IC-LPG,2C2A8C49,IC-LDH, LDO 14 002242,EL-1BE,320EL1BE1010035
EL-10E,320EL10E1010036,320EL10E1010036,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010036,2024-11-22,1,Preproduction,IC-LPG,E42D09C0,IC-LPG,4CA845C7,IC-LPG,E4A95F74,IC-LDH, LDO 14 002266,EL-1BE,320EL1BE1010036
