LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010008,320EL10E1010008,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010008,2024-11-22,1,Preproduction,IC-LPG,CC2B8E96,IC-LPG,CCA95A03,IC-LPG,442836AA,IC-LDH, LDO 14 002984,EL-1BE,320EL1BE1010008
EL-10E,320EL10E1010017,320EL10E1010017,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010017,2024-11-22,1,Preproduction,IC-LPG,E4281428,IC-LPG,C4AE6DA2,IC-LPG,A4AB3DAB,IC-LDH, LDO 14 002661,EL-1BE,320EL1BE1010017
EL-10E,320EL10E1010018,320EL10E1010018,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010018,2024-11-22,1,Preproduction,IC-LPG,84AAED3C,IC-LPG,4CA8B097,IC-LPG,ACA9C9AA,IC-LDH, LDO 14 003012,EL-1BE,320EL1BE1010018
EL-10E,320EL10E1010019,320EL10E1010019,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010019,2024-11-22,1,Preproduction,IC-LPG,AC283924,IC-LPG,CC2D5028,IC-LPG,AC28A08E,IC-LDH, LDO 14 002760,EL-1BE,320EL1BE1010019
EL-10E,320EL10E1010020,320EL10E1010020,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010020,2024-11-22,1,Preproduction,IC-LPG,EC2AB9E6,IC-LPG,4C2F94F7,IC-LPG,0CA930F3,IC-LDH, LDO 14 002737,EL-1BE,320EL1BE1010020
EL-10E,320EL10E1010021,320EL10E1010021,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010021,2024-11-22,1,Preproduction,IC-LPG,A4AE462A,IC-LPG,A4292C38,IC-LPG,8CABC876,IC-LDH, LDO 14 004521,EL-1BE,320EL1BE1010021
EL-10E,320EL10E1010022,320EL10E1010022,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010022,2024-11-22,1,Preproduction,IC-LPG,A4A851A2,IC-LPG,CC28FADD,IC-LPG,6CA955C5,IC-LDH, LDO 14 002909,EL-1BE,320EL1BE1010022
EL-10E,320EL10E1010023,320EL10E1010023,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010023,2024-11-22,1,Preproduction,IC-LPG,AC2EA3ED,IC-LPG,EC293D9E,IC-LPG,2CABCB19,IC-LDH, LDO 14 003760,EL-1BE,320EL1BE1010023
EL-10E,320EL10E1010024,320EL10E1010024,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010024,2024-11-22,1,Preproduction,IC-LPG,A42C8CAE,IC-LPG,0C2D1D5A,IC-LPG,6C28A3D4,IC-LDH, LDO 14 003756,EL-1BE,320EL1BE1010024
EL-10E,320EL10E1010025,320EL10E1010025,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010025,2024-11-22,1,Preproduction,IC-LPG,A42F8694,IC-LPG,8C294586,IC-LPG,8C2A025B,IC-LDH, LDO 14 002924,EL-1BE,320EL1BE1010025
EL-10E,320EL10E1010026,320EL10E1010026,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010026,2024-11-22,1,Preproduction,IC-LPG,CC2D094D,IC-LPG,A4A88A86,IC-LPG,0CAF5300,IC-LDH, LDO 14 003707,EL-1BE,320EL1BE1010026
EL-10E,320EL10E1010027,320EL10E1010027,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010027,2024-11-22,1,Preproduction,IC-LPG,6CAFACF6,IC-LPG,A42F8C08,IC-LPG,CC2DA974,IC-LDH, LDO 14 003682,EL-1BE,320EL1BE1010027
EL-10E,320EL10E1010028,320EL10E1010028,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010028,2024-11-22,1,Preproduction,IC-LPG,AC288433,IC-LPG,64A8FD0D,IC-LPG,A42AF4DF,IC-LDH, LDO 14 003676,EL-1BE,320EL1BE1010028
EL-10E,320EL10E1010029,320EL10E1010029,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010029,2024-11-22,1,Preproduction,IC-LPG,C4A85708,IC-LPG,A4290BEF,IC-LPG,4CADD368,IC-LDH, LDO 14 002724,EL-1BE,320EL1BE1010029
EL-10E,320EL10E1010030,320EL10E1010030,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010030,2024-11-22,1,Preproduction,IC-LPG,8C2961A2,IC-LPG,8C2CF252,IC-LPG,E42DBB28,IC-LDH, LDO 14 002693,EL-1BE,320EL1BE1010030
EL-10E,320EL10E1010038,320EL10E1010038,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010038,2024-11-22,1,Preproduction,IC-LPG,E428A500,IC-LPG,2CAD2C91,IC-LPG,042C9DDC,IC-LDH, LDO 14 003645,EL-1BE,320EL1BE1010038
EL-10E,320EL10E1010042,320EL10E1010042,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010042,2024-11-22,1,Preproduction,IC-LPG,84A97700,IC-LPG,C4AB34C2,IC-LPG,E42E184B,IC-LDH, LDO 14 002876,EL-1BE,320EL1BE1010042
EL-10E,320EL10E1010045,320EL10E1010045,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010045,2024-11-22,1,Preproduction,IC-LPG,242D5355,IC-LPG,442B03A0,IC-LPG,8C2F5297,IC-LDH, LDO 14 003088,EL-1BE,320EL1BE1010045
