Test ID,ADC,slope,intercept,rsquared
67,WEST_VMON_REF0,1.07275390625,30.078125,0.9999960636674853
67,WEST_VMON_REF1,1.07177734375,31.0546875,0.9999993773386125
67,WEST_VMON_REF2,1.0732421875,29.4921875,0.9999908926223616
67,WEST_VMON_LVS0,1.07421875,29.4921875,0.9999942149095007
67,WEST_VMON_LVS1,1.07177734375,29.8828125,0.9999985471246352
67,WEST_VMON_LVS2,1.0732421875,29.4921875,0.9999950323189053
67,WEST_PROBE_DC,1.07177734375,30.46875,0.9999910752608724
67,EAST_VMON_REF0,1.08251953125,31.8359375,0.999989623896776
67,EAST_VMON_REF1,1.08251953125,31.8359375,0.9999814859272701
67,EAST_VMON_REF2,1.08251953125,31.4453125,0.9999953205542418
67,EAST_VMON_LVS0,1.083984375,30.859375,0.9999772750883026
67,EAST_VMON_LVS1,1.08251953125,31.8359375,0.9999733480902179
67,EAST_VMON_LVS2,1.08154296875,32.2265625,0.9999928662565781
67,EAST_PROBE_DC,1.08251953125,31.4453125,0.9999749756470322
73,WEST_VMON_REF0,1.0712890625,32.421875,0.9999867046139143
73,WEST_VMON_REF1,1.0712890625,32.03125,0.9999966761203343
73,WEST_VMON_REF2,1.072265625,31.640625,0.999996682171983
73,WEST_VMON_LVS0,1.0703125,32.8125,0.9999966700521136
73,WEST_VMON_LVS1,1.07177734375,31.640625,0.9999943960754263
73,WEST_VMON_LVS2,1.072265625,31.4453125,0.999996682171983
73,WEST_PROBE_DC,1.0732421875,31.25,0.9999942043768546
73,EAST_VMON_REF0,1.09423828125,33.7890625,0.9999866590948733
73,EAST_VMON_REF1,1.095703125,33.7890625,0.9999888791625691
73,EAST_VMON_REF2,1.0927734375,34.765625,0.9999912152643569
73,EAST_VMON_LVS0,1.09423828125,33.984375,0.9999882520200551
73,EAST_VMON_LVS1,1.0927734375,34.765625,0.9999992013812911
73,EAST_VMON_LVS2,1.0927734375,34.9609375,0.9999904166596786
73,EAST_PROBE_DC,1.09326171875,33.7890625,0.9999818479649373
79,WEST_VMON_REF0,1.07275390625,30.078125,0.9999960636674853
79,WEST_VMON_REF1,1.07177734375,31.0546875,0.9999993773386125
79,WEST_VMON_REF2,1.0732421875,29.4921875,0.9999908926223616
79,WEST_VMON_LVS0,1.07421875,29.4921875,0.9999942149095007
79,WEST_VMON_LVS1,1.07177734375,29.8828125,0.9999985471246352
79,WEST_VMON_LVS2,1.0732421875,29.4921875,0.9999950323189053
79,WEST_PROBE_DC,1.07177734375,30.46875,0.9999910752608724
79,EAST_VMON_REF0,1.08251953125,31.8359375,0.999989623896776
79,EAST_VMON_REF1,1.08251953125,31.8359375,0.9999814859272701
79,EAST_VMON_REF2,1.08251953125,31.4453125,0.9999953205542418
79,EAST_VMON_LVS0,1.083984375,30.859375,0.9999772750883026
79,EAST_VMON_LVS1,1.08251953125,31.8359375,0.9999733480902179
79,EAST_VMON_LVS2,1.08154296875,32.2265625,0.9999928662565781
79,EAST_PROBE_DC,1.08251953125,31.4453125,0.9999749756470322
86,WEST_VMON_REF0,1.0712890625,32.421875,0.9999867046139143
86,WEST_VMON_REF1,1.0712890625,32.03125,0.9999966761203343
86,WEST_VMON_REF2,1.072265625,31.640625,0.999996682171983
86,WEST_VMON_LVS0,1.0703125,32.8125,0.9999966700521136
86,WEST_VMON_LVS1,1.07177734375,31.640625,0.9999943960754263
86,WEST_VMON_LVS2,1.072265625,31.4453125,0.999996682171983
86,WEST_PROBE_DC,1.0732421875,31.25,0.9999942043768546
86,EAST_VMON_REF0,1.09423828125,33.7890625,0.9999866590948733
86,EAST_VMON_REF1,1.095703125,33.7890625,0.9999888791625691
86,EAST_VMON_REF2,1.0927734375,34.765625,0.9999912152643569
86,EAST_VMON_LVS0,1.09423828125,33.984375,0.9999882520200551
86,EAST_VMON_LVS1,1.0927734375,34.765625,0.9999992013812911
86,EAST_VMON_LVS2,1.0927734375,34.9609375,0.9999904166596786
86,EAST_PROBE_DC,1.09326171875,33.7890625,0.9999818479649373
93,WEST_VMON_REF0,1.07275390625,30.078125,0.9999960636674853
93,WEST_VMON_REF1,1.07177734375,31.0546875,0.9999993773386125
93,WEST_VMON_REF2,1.0732421875,29.4921875,0.9999908926223616
93,WEST_VMON_LVS0,1.07421875,29.4921875,0.9999942149095007
93,WEST_VMON_LVS1,1.07177734375,29.8828125,0.9999985471246352
93,WEST_VMON_LVS2,1.0732421875,29.4921875,0.9999950323189053
93,WEST_PROBE_DC,1.07177734375,30.46875,0.9999910752608724
93,EAST_VMON_REF0,1.08251953125,31.8359375,0.999989623896776
93,EAST_VMON_REF1,1.08251953125,31.8359375,0.9999814859272701
93,EAST_VMON_REF2,1.08251953125,31.4453125,0.9999953205542418
93,EAST_VMON_LVS0,1.083984375,30.859375,0.9999772750883026
93,EAST_VMON_LVS1,1.08251953125,31.8359375,0.9999733480902179
93,EAST_VMON_LVS2,1.08154296875,32.2265625,0.9999928662565781
93,EAST_PROBE_DC,1.08251953125,31.4453125,0.9999749756470322
101,WEST_VMON_REF0,1.0712890625,32.421875,0.9999867046139143
101,WEST_VMON_REF1,1.0712890625,32.03125,0.9999966761203343
101,WEST_VMON_REF2,1.072265625,31.640625,0.999996682171983
