Test ID,Voltage
9,2.5
12,2
15,1
18,2.5
21,2.5
24,2.5
27,2.5
30,1
33,1
36,2.5
39,2.5
42,2.5
45,2.7
48,2.5
51,2.5
54,2.4
57,2.4
60,2.39
63,1.6
