Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2020,320BC9000030003,BC90,00030003,6,89,2024-03-14 09:35:24
2021,320BC9000030002,BC90,00030002,6,89,2024-03-14 09:35:24
2022,320BC9000030001,BC90,00030001,6,89,2024-03-14 09:35:24
2023,320TC9910400001,TC99,10400001,2,82,2024-03-14 09:35:24
2024,320TC9910400002,TC99,10400002,2,82,2024-03-14 09:35:24
2025,320TC9910400003,TC99,10400003,2,82,2024-03-14 09:35:24
2026,320TC9910400004,TC99,10400004,2,82,2024-03-14 09:35:24
2027,320TC9910400005,TC99,10400005,2,82,2024-03-14 09:35:24
2028,320TC9910400006,TC99,10400006,2,82,2024-03-14 09:35:24
2029,320TC9910400007,TC99,10400007,2,82,2024-03-14 09:35:24
2030,320TC9910400008,TC99,10400008,2,82,2024-03-14 09:35:24
2031,320MLR3CXNT0010,MLR3C,XNT0010,7,359,2024-03-14 09:35:24
2032,3200300000010,XXXXXX,0010,1,1,2024-03-14 09:35:24
2033,3200300000011,XXXXXX,0011,1,1,2024-03-14 09:35:24
2034,3200300000012,XXXXXX,0012,1,1,2024-03-14 09:35:24
2035,3200300000013,XXXXXX,0013,1,1,2024-03-14 09:35:24
2036,3200300000014,XXXXXX,0014,1,1,2024-03-14 09:35:24
2037,320MLF2CXCM0010,MLF2C,XCM0010,7,377,2024-03-14 09:35:24
2038,320BC9000160001,BC90,00160001,6,89,2024-03-14 09:35:24
2039,320BC9000160003,BC90,00160003,6,89,2024-03-14 09:35:24
2040,320BC9000160002,BC90,00160002,6,89,2024-03-14 09:35:24
2041,320BC9000160005,BC90,00160005,6,89,2024-03-14 09:35:24
2042,320BC9000160004,BC90,00160004,6,89,2024-03-14 09:35:24
2043,320EL0300000007,EL0300,000007,24,982,2024-03-14 09:35:24
2044,320TC9910020008,TC99,10020008,2,82,2024-03-14 09:35:24
2045,320TC9910020006,TC99,10020006,2,82,2024-03-14 09:35:24
2046,320TC9910020007,TC99,10020007,2,82,2024-03-14 09:35:24
2047,320TC9910020004,TC99,10020004,2,82,2024-03-14 09:35:24
2048,320EL0300000009,EL0300,000009,24,982,2024-03-14 09:35:24
2049,320TC9910020002,TC99,10020002,2,82,2024-03-14 09:35:24
2050,320MLF3W3SB0010,MLF3W,3SB0010,7,364,2024-03-14 09:35:24
2051,320TC9910130001,TC99,10130001,2,82,2024-03-14 09:35:24
2052,320TC9910020001,TC99,10020001,2,82,2024-03-14 09:35:24
2053,320EL0310000023,EL0310,000023,24,980,2024-03-14 09:35:24
2054,320EL0310000022,EL0310,000022,24,980,2024-03-14 09:35:25
2055,320MLF2WSBX0010,MLF2W,SBX0010,7,362,2024-03-14 09:35:25
2056,320BC9000130007,BC90,00130007,6,89,2024-03-14 09:35:25
